intervention,space,time,benefit,costs
oil,South,6,129251.727223684,123470.964406756
oil,South,7,131133.943562258,125172.09342697
oil,South,8,132923.012211275,126897.077367434
oil,South,9,134644.764042628,128644.892388329
oil,South,10,136340.0043467,194467.132667421
cube,Cities,1,0.0,340333.90019779
cube,Cities,2,0.0,219053.174324915
cube,Cities,3,0.0,224428.961580353
cube,Cities,4,92214.2351689,229897.746110638
cube,Cities,5,93761.0172605248,276344.783774862
cube,Cities,6,95230.1681274885,241090.454933963
cube,Cities,7,96616.9486543322,246808.765894561
cube,Cities,8,97935.0997684182,252607.264689416
cube,Cities,9,99203.6531556374,258482.50970159
cube,Cities,10,100452.673363267,305326.897685216
cube,North,1,0.0,419364.951141883
cube,North,2,0.0,269920.873867853
cube,North,3,0.0,276545.006105094
cube,North,4,137630.216154241,283283.731092571
cube,North,5,139938.796312434,340516.524150866
cube,North,6,142131.511472008,297075.568420886
cube,North,7,144201.288478979,304121.763922455
cube,North,8,146168.635737494,311266.768173832
cube,North,9,148061.958135781,318506.34035881
cube,North,10,149926.127163938,376228.754924645
cube,South,1,0.0,904865.749617891
cube,South,2,0.0,582409.553313665
cube,South,3,0.0,596702.474946955
cube,South,4,193015.261761605,611242.653902443
cube,South,5,196252.858969414,734734.123688859
cube,South,6,199327.964875079,641001.36690102
cube,South,7,202230.659951435,656204.976447122
cube,South,8,204989.705578833,671621.786102629
cube,South,9,207644.937318751,687242.64543824
cube,South,10,210259.283811779,811790.573880162
maize,Cities,1,0.0,120082.314362108
maize,Cities,2,0.0,107822.600710943
maize,Cities,3,0.0,33285.3786126621
maize,Cities,4,42937.2532505191,24179.9335276269
maize,Cities,5,43657.4736619319,24179.9335276269
maize,Cities,6,44341.5470343619,25436.1408978428
maize,Cities,7,44987.2667171734,24179.9335276269
maize,Cities,8,45601.0308296697,24179.9335276269
maize,Cities,9,46191.7010005937,24179.9335276269
maize,Cities,10,46773.276034771,24179.9335276269
maize,North,1,0.0,591276.552325973
maize,North,2,0.0,530910.617020082
maize,North,3,0.0,163894.775125768
maize,North,4,192467.255403197,119060.228041356
maize,North,5,195695.660468169,119060.228041356
maize,North,6,198762.035574137,125245.701454435
maize,North,7,201656.489357322,119060.228041356
maize,North,8,204407.701539152,119060.228041356
maize,North,9,207055.394580506,119060.228041356
maize,North,10,209662.318455819,119060.228041356
maize,South,1,0.0,607437.888886919
maize,South,2,0.0,545421.974068975
maize,South,3,0.0,168374.50396157
maize,South,4,134205.924193616,122314.496131017
maize,South,5,136457.066002171,122314.496131017
maize,South,6,138595.225577204,128669.036822723
maize,South,7,140613.505747482,122314.496131017
maize,South,8,142531.904660283,122314.496131017
maize,South,9,144378.120479444,122314.496131017
maize,South,10,146195.908275377,122314.496131017
vasoil,Cities,1,357803.541163704,263082.890288635
vasoil,Cities,2,370752.01797727,288239.541457625
vasoil,Cities,3,378643.32948109,314373.526688745
vasoil,Cities,4,385426.686057512,319392.96811374
vasoil,Cities,5,391891.7518311,403358.421499075
vasoil,Cities,6,398032.343345362,329098.875614403
vasoil,Cities,7,403828.652578654,333771.741817261
vasoil,Cities,8,409338.112313311,338346.705484738
vasoil,Cities,9,414640.269048953,342857.817242444
vasoil,Cities,10,419860.783198028,426416.654819915
vasoil,North,1,716769.331366638,790274.663597103
vasoil,North,2,767849.839643467,820797.639110882
vasoil,North,3,804910.000097751,851489.548733867
vasoil,North,4,819329.880543217,866303.084802353
vasoil,North,5,833073.146797458,937405.344092113
vasoil,North,6,846126.654231799,894103.552315545
vasoil,North,7,858448.295476422,907037.777178304
vasoil,North,8,870160.15962477,919427.875691233
vasoil,North,9,881431.344527072,931429.706542898
vasoil,North,10,892528.975772817,1000184.23328613
vasoil,South,1,610815.23969972,732798.627385877
vasoil,South,2,633610.604660425,763919.425496036
vasoil,South,3,645887.231586716,795369.949649874
vasoil,South,4,657458.235375466,809122.646132677
vasoil,South,5,668486.300864567,886383.507481252
vasoil,South,6,678960.880355739,834985.975023182
vasoil,South,7,688848.185459574,847048.475662092
vasoil,South,8,698246.184627901,858622.064539149
vasoil,South,9,707290.567741995,869847.913617134
vasoil,South,10,716195.685483872,945002.245225747
vascube,Cities,1,91831.7073328899,501897.01651244
vascube,Cities,2,93729.4427470627,383955.050816842
vascube,Cities,3,95545.5130466302,392525.921617673
vascube,Cities,4,369577.364387857,401006.146019112
vascube,Cities,5,375776.576989447,450323.319820346
vascube,Cities,6,381664.65819845,417795.078265318
vascube,Cities,7,387222.614528691,426086.633980782
vascube,Cities,8,392505.517040614,434331.032018371
vascube,Cities,9,397589.641162828,442560.145062829
vascube,Cities,10,402595.479963717,491722.15622892
vascube,North,1,450772.780632843,1136579.86265087
vascube,North,2,460088.163025236,1001957.29067903
vascube,North,3,469002.677222311,1022765.11542323
vascube,North,4,781696.618313542,1042872.29745691
vascube,North,5,794808.632180777,1112846.26859149
vascube,North,6,807262.569063672,1081507.02577781
vascube,North,7,819018.255657951,1099976.43191836
vascube,North,8,830192.173290299,1117979.33151709
vascube,North,9,840945.652849319,1135668.25186388
vascube,North,10,851533.550376428,1203679.11557355
vascube,South,1,273371.855529945,1555412.29589744
vascube,South,2,279021.183703674,1246399.87903823
vascube,South,3,284427.404735435,1273558.05490121
vascube,South,4,669521.689235566,1300224.03244362
vascube,South,5,680752.104550156,1435272.33026032
vascube,South,6,691418.878160432,1352516.37751745
vascube,South,7,701487.601706539,1378081.35868224
vascube,South,8,711058.041226578,1403346.77327434
vascube,South,9,720268.376324417,1428445.66666705
vascube,South,10,729336.890722108,1562325.68643849
vasmaize,Cities,1,91831.7073328899,281645.430676758
vasmaize,Cities,2,93729.4427470627,272724.47720287
vasmaize,Cities,3,95545.5130466302,201382.338649982
vasmaize,Cities,4,346523.805595632,195288.3334361
vasmaize,Cities,5,352336.322674316,198158.46957311
vasmaize,Cities,6,357857.116166578,202140.764229198
vasmaize,Cities,7,363068.377365108,203457.801613849
vasmaize,Cities,8,368021.742098509,205903.700856582
vasmaize,Cities,9,372788.727873919,208257.568888865
vasmaize,Cities,10,377482.3116229,210575.192071331
vasmaize,North,1,450772.780632843,1308491.46383496
vasmaize,North,2,460088.163025236,1262947.03383126
vasmaize,North,3,469002.677222311,910114.884443903
vasmaize,North,4,740837.647892751,878648.794405699
vasmaize,North,5,753264.302025523,891389.972481984
vasmaize,North,6,765067.276595419,909677.158811359
vasmaize,North,7,776208.498140754,914914.896037264
vasmaize,North,8,786798.359555731,925772.791384618
vasmaize,North,9,796989.759027759,936222.139546424
vasmaize,North,10,807024.231374633,946510.588690261
vasmaize,South,1,273371.855529945,1257984.43516647
vasmaize,South,2,279021.183703674,1209412.29979354
vasmaize,South,3,284427.404735435,845230.083915825
vasmaize,South,4,643886.849782853,811295.874672198
vasmaize,South,5,654687.27171828,822852.702702475
vasmaize,South,6,664945.63282546,840184.047439148
vasmaize,South,7,674628.842181739,844190.878366139
vasmaize,South,8,683832.845954389,854039.483302732
vasmaize,South,9,692690.533086771,863517.517359822
vasmaize,South,10,701411.829590856,872849.608689343
oilcube,Cities,1,81628.1842959021,441853.674171775
oilcube,Cities,2,117335.376475953,342390.839290612
oilcube,Cities,3,153580.565415694,370705.528231778
oilcube,Cities,4,221890.503375166,378182.314315905
oilcube,Cities,5,225612.447783138,505724.669228454
oilcube,Cities,6,229147.592056769,393484.707217011
oilcube,Cities,7,232484.532699487,401302.6396256
oilcube,Cities,8,235656.333817756,409230.202845199
oilcube,Cities,9,238708.790405753,417262.691582796
oilcube,Cities,10,241714.24528036,545348.293961427
oilcube,North,1,81220.3208347465,492424.703229994
oilcube,North,2,144036.609595738,358682.096167555
oilcube,North,3,184854.6588151,381814.445520826
oilcube,North,4,268809.015926252,389998.249530581
oilcube,North,5,273317.961547722,505592.123802352
oilcube,North,6,277600.608343766,406747.663379507
oilcube,North,7,281643.141560506,415304.873104851
oilcube,North,8,285485.616674793,423982.080521803
oilcube,North,9,289183.511983948,432774.13539664
oilcube,North,10,292824.467117066,548962.627561872
oilcube,South,1,65495.3403873826,987117.830724221
oilcube,South,2,94460.2965663478,682338.653085139
oilcube,South,3,122955.596838756,715216.844642573
oilcube,South,4,238253.213736981,731383.921493939
oilcube,South,5,242249.622790371,920579.424598653
oilcube,South,6,246045.456642676,764472.331307776
oilcube,South,7,249628.470877552,781377.069874093
oilcube,South,8,253034.167823872,798518.863470063
oilcube,South,9,256311.719502833,815887.537826569
oilcube,South,10,259538.803455164,1006257.70654758
cubemaize,Cities,1,87070.0632489622,460416.214559898
cubemaize,Cities,2,88869.3975675854,326875.775035858
cubemaize,Cities,3,90591.3012590272,257714.340193015
cubemaize,Cities,4,72042.3712257031,254077.679638265
cubemaize,Cities,5,73250.794734785,300524.717302489
cubemaize,Cities,6,74398.5688496004,266526.595831806
cubemaize,Cities,7,75481.991136197,270988.699422187
cubemaize,Cities,8,76511.7966940767,276787.198217043
cubemaize,Cities,9,77502.8540278418,282662.443229217
cubemaize,Cities,10,78478.651065052,329506.831212842
cubemaize,North,1,63961.0026573629,1010641.50346786
cubemaize,North,2,65282.7798887159,800831.490887935
cubemaize,North,3,66547.6771734361,440439.781230862
cubemaize,North,4,265583.307735137,402343.959133928
cubemaize,North,5,270038.14600915,459576.752192222
cubemaize,North,6,274269.401043641,422321.269875321
cubemaize,North,7,278263.42386178,423181.991963811
cubemaize,North,8,282059.789274696,430326.996215188
cubemaize,North,9,285713.30984014,437566.568400166
cubemaize,North,10,289310.573511661,495288.982966001
cubemaize,South,1,115328.751551695,1512303.63850481
cubemaize,South,2,117712.061874987,1127831.52738264
cubemaize,South,3,119992.811372761,765076.978908524
cubemaize,South,4,250316.667597081,733557.15003346
cubemaize,South,5,254515.426475959,857048.619819876
cubemaize,South,6,258503.454447369,769670.403723742
cubemaize,South,7,262267.887124517,778519.472578139
cubemaize,South,8,265846.024422549,793936.282233646
cubemaize,South,9,269289.528085255,809557.141569257
cubemaize,South,10,272680.008693401,934105.070011179
oilmaize,Cities,1,81628.1842959021,221602.088336094
oilmaize,Cities,2,117335.376475953,231160.26567664
oilmaize,Cities,3,153580.565415694,179561.945264087
oilmaize,Cities,4,193793.978597141,172464.501732894
oilmaize,Cities,5,197044.637836572,253559.818981219
oilmaize,Cities,6,200132.150205425,177830.393180891
oilmaize,Cities,7,203046.55615637,178673.807258666
oilmaize,Cities,8,205816.733107066,180802.87168341
oilmaize,Cities,9,208482.677334894,182960.115408833
oilmaize,Cities,10,211107.57136499,264201.329803838
oilmaize,North,1,81220.3208347465,664336.304414085
oilmaize,North,2,144036.609595738,619671.839319784
oilmaize,North,3,184854.6588151,269164.2145415
oilmaize,North,4,362354.553468588,225774.746479366
oilmaize,North,5,368432.61216633,284135.827692841
oilmaize,North,6,374205.620047397,234917.796413056
oilmaize,North,7,379654.954823562,230243.337223752
oilmaize,North,8,384834.611277622,231775.540389327
oilmaize,North,9,389819.374154361,233328.023079186
oilmaize,North,10,394727.381673805,291794.100678582
oilmaize,South,1,65495.3403873826,689689.969993249
oilmaize,South,2,94460.2965663478,645351.07384045
oilmaize,South,3,122955.596838756,286888.873657188
oilmaize,South,4,238253.213736981,242455.763722513
oilmaize,South,5,242249.622790371,308159.797040811
oilmaize,South,6,246045.456642676,252140.001229479
oilmaize,South,7,249628.470877552,247486.589557988
oilmaize,South,8,253034.167823872,249211.573498451
oilmaize,South,9,256311.719502833,250959.388519346
oilmaize,South,10,259538.803455164,316781.628798438
vasoilcube,Cities,1,357803.541163704,603416.790486425
vasoilcube,Cities,2,370752.01797727,507292.715782539
vasoilcube,Cities,3,378643.32948109,538802.488269098
vasoilcube,Cities,4,395512.61802911,549290.714224378
vasoilcube,Cities,5,402146.86309397,679703.205273938
vasoilcube,Cities,6,408448.142984306,570189.330548366
vasoilcube,Cities,7,414396.131337722,580580.507711822
vasoilcube,Cities,8,420049.763850481,590953.970174154
vasoilcube,Cities,9,425490.668612851,601340.326944034
vasoilcube,Cities,10,430847.794347136,731743.552505131
vasoilcube,North,1,716769.331366638,1209639.61473899
vasoilcube,North,2,767849.839643467,1090718.51297873
vasoilcube,North,3,804910.000097751,1128034.55483896
vasoilcube,North,4,892445.932875157,1149586.81589492
vasoilcube,North,5,907415.632338438,1277921.86824298
vasoilcube,North,6,921634.019701303,1191179.12073643
vasoilcube,North,7,935055.229980879,1211159.54110076
vasoilcube,North,8,947812.247360314,1230694.64386507
vasoilcube,North,9,960089.259786706,1249936.04690171
vasoilcube,North,10,972177.230828659,1376412.98821078
vasoilcube,South,1,610815.23969972,1637664.37700377
vasoilcube,South,2,633610.604660425,1346328.9788097
vasoilcube,South,3,645887.231586716,1392072.42459683
vasoilcube,South,4,692140.665223254,1420365.30003512
vasoilcube,South,5,703750.486460634,1621117.63117011
vasoilcube,South,6,714777.62404423,1475987.3419242
vasoilcube,South,7,725186.507169598,1503253.45210921
vasoilcube,South,8,735080.272349098,1530243.85064178
vasoilcube,South,9,744601.767416458,1557090.55905537
vasoilcube,South,10,753976.650543801,1756792.81910591
vasoilmaize,Cities,1,357803.541163704,383165.204650744
vasoilmaize,Cities,2,370752.01797727,396062.142168568
vasoilmaize,Cities,3,378643.32948109,347658.905301407
vasoilmaize,Cities,4,388308.38090654,343572.901641367
vasoilmaize,Cities,5,394821.783620491,427538.355026702
vasoilmaize,Cities,6,401008.286099346,354535.016512246
vasoilmaize,Cities,7,406847.932224102,357951.675344888
vasoilmaize,Cities,8,412398.584181074,362526.639012365
vasoilmaize,Cities,9,417740.383210067,367037.750770071
vasoilmaize,Cities,10,422999.92924063,450596.588347542
vasoilmaize,North,1,716769.331366638,1381551.21592308
vasoilmaize,North,2,767849.839643467,1351708.25613096
vasoilmaize,North,3,804910.000097751,1015384.32385964
vasoilmaize,North,4,875242.155855877,985363.312843709
vasoilmaize,North,5,889923.282799384,1056465.57213347
vasoilmaize,North,6,903867.580767302,1019349.25376998
vasoilmaize,North,7,917030.068921007,1026098.00521966
vasoilmaize,North,8,929541.167893127,1038488.10373259
vasoilmaize,North,9,941581.515019733,1050489.93458425
vasoilmaize,North,10,953436.464933166,1119244.46132749
vasoilmaize,South,1,610815.23969972,1340236.5162728
vasoilmaize,South,2,633610.604660425,1309341.39956501
vasoilmaize,South,3,645887.231586716,963744.453611444
vasoilmaize,South,4,683093.074828179,931437.142263694
vasoilmaize,South,5,694551.133696443,1008698.00361227
vasoilmaize,South,6,705434.125690711,963655.011845904
vasoilmaize,South,7,715706.944984374,969362.971793109
vasoilmaize,South,8,725471.37990009,980936.560670166
vasoilmaize,South,9,734868.410979642,992162.409748151
vasoilmaize,South,10,744120.746615123,1067316.74135676
vascubemaize,Cities,1,91831.7073328899,621979.330874548
vascubemaize,Cities,2,93729.4427470627,491777.651527785
vascubemaize,Cities,3,95545.5130466302,425811.300230335
vascubemaize,Cities,4,371018.211812371,425186.079546738
vascubemaize,Cities,5,377241.592884143,474503.253347972
vascubemaize,Cities,6,383152.629575442,443231.21916316
vascubemaize,Cities,7,388732.254351415,450266.567508409
vascubemaize,Cities,8,394035.752974495,458510.965545998
vascubemaize,Cities,9,399139.698243385,466740.078590456
vascubemaize,Cities,10,404165.052985018,515902.089756546
vascubemaize,North,1,450772.780632843,1727856.41497685
vascubemaize,North,2,460088.163025236,1532867.90769911
vascubemaize,North,3,469002.677222311,1186659.890549
vascubemaize,North,4,847286.018199547,1161932.52549827
vascubemaize,North,5,861498.214798421,1231906.49663285
vascubemaize,North,6,874997.117499551,1206752.72723225
vascubemaize,North,7,887739.182198714,1219036.65995972
vascubemaize,North,8,899850.663758949,1237039.55955845
vascubemaize,North,9,911506.429773403,1254728.47990523
vascubemaize,North,10,922982.720352992,1322739.34361491
vascubemaize,South,1,273371.855529945,2162850.18478436
vascubemaize,South,2,279021.183703674,1791821.8531072
vascubemaize,South,3,284427.404735435,1441932.55886278
vascubemaize,South,4,684601.006560691,1422538.52857464
vascubemaize,South,5,696084.359157141,1557586.82639133
vascubemaize,South,6,706991.375416297,1481185.41434017
vascubemaize,South,7,717286.872015245,1500395.85481326
vascubemaize,South,8,727072.861974925,1525661.26940536
vascubemaize,South,9,736490.637052445,1550760.16279806
vascubemaize,South,10,745763.397269903,1684640.18256951
oilcubemaize,Cities,1,81628.1842959021,561935.988533883
oilcubemaize,Cities,2,117335.376475953,450213.440001555
oilcubemaize,Cities,3,153580.565415694,403990.906844441
oilcubemaize,Cities,4,246384.909591905,402362.247843532
oilcubemaize,Cities,5,250517.717992965,529904.602756081
oilcubemaize,Cities,6,254443.105465633,418920.848114854
oilcubemaize,Cities,7,258148.409685794,425482.573153227
oilcubemaize,Cities,8,261670.344693742,433410.136372826
oilcubemaize,Cities,9,265059.760775219,441442.625110423
oilcubemaize,Cities,10,268396.986642478,569528.227489054
oilcubemaize,North,1,81220.3208347465,1083701.25555597
oilcubemaize,North,2,144036.609595738,889592.713187637
oilcubemaize,North,3,184854.6588151,545709.220646594
oilcubemaize,North,4,427943.953354594,509058.477571938
oilcubemaize,North,5,435122.194783974,624652.351843708
oilcubemaize,North,6,441940.168483276,531993.364833942
oilcubemaize,North,7,448375.881364325,534365.101146207
oilcubemaize,North,8,454493.101746271,543042.308563159
oilcubemaize,North,9,460380.151078445,551834.363437996
oilcubemaize,North,10,466176.551650369,668022.855603228
oilcubemaize,South,1,65495.3403873826,1594555.71961114
oilcubemaize,South,2,94460.2965663478,1227760.62715411
oilcubemaize,South,3,122955.596838756,883591.348604143
oilcubemaize,South,4,407141.567778385,853698.417624956
oilcubemaize,South,5,413970.874388608,1042893.92072967
oilcubemaize,South,6,420457.425908371,893141.368130498
oilcubemaize,South,7,426580.298335057,903691.56600511
oilcubemaize,South,8,432400.160205352,920833.35960108
oilcubemaize,South,9,438001.03965674,938202.033957586
oilcubemaize,South,10,443515.676790471,1128572.2026786
vasoilcubemaize,Cities,1,357803.541163704,723499.104848534
vasoilcubemaize,Cities,2,370752.01797727,615115.316493482
vasoilcubemaize,Cities,3,378643.32948109,572087.86688176
vasoilcubemaize,Cities,4,396233.041741367,573470.647752005
vasoilcubemaize,Cities,5,402879.371041318,703883.138801564
vasoilcubemaize,Cities,6,409192.128672802,595625.471446209
vasoilcubemaize,Cities,7,415150.951249084,604760.441239449
vasoilcubemaize,Cities,8,420814.881817422,615133.903701781
vasoilcubemaize,Cities,9,426265.69715313,625520.260471661
vasoilcubemaize,Cities,10,431632.580857786,755923.486032758
vasoilcubemaize,North,1,716769.331366638,1800916.16706496
vasoilcubemaize,North,2,767849.839643467,1621629.12999882
vasoilcubemaize,North,3,804910.000097751,1291929.32996473
vasoilcubemaize,North,4,921477.306595193,1268647.04393628
vasoilcubemaize,North,5,936933.972185592,1396982.09628434
vasoilcubemaize,North,6,951614.88540243,1316424.82219087
vasoilcubemaize,North,7,965472.689269414,1330219.76914212
vasoilcubemaize,North,8,978644.693961192,1349754.87190642
vasoilcubemaize,North,9,991321.079080972,1368996.27494306
vasoilcubemaize,North,10,1003802.2732773,1495473.21625213
vasoilcubemaize,South,1,610815.23969972,2245102.26589069
vasoilcubemaize,South,2,633610.604660425,1891750.95287868
vasoilcubemaize,South,3,645887.231586716,1560446.9285584
vasoilcubemaize,South,4,704204.119083354,1542679.79616614
vasoilcubemaize,South,5,716016.290146222,1743432.12730113
vasoilcubemaize,South,6,727235.621848923,1604656.37874692
vasoilcubemaize,South,7,737825.923416562,1625567.94824023
vasoilcubemaize,South,8,747892.128947775,1652558.34677279
vasoilcubemaize,South,9,757579.57599888,1679405.05518639
vasoilcubemaize,South,10,767117.855782037,1879107.31523693
vasoilold,Cities,1,357803.541163704,263082.890288635
vasoilold,Cities,2,365197.680629296,267274.495041247
vasoilold,Cities,3,372273.628611315,271338.074905153
vasoilold,Cities,4,378942.872647198,275233.035459997
vasoilold,Cities,5,385299.180304969,279000.684891526
vasoilold,Cities,6,391336.472148898,282637.519877102
vasoilold,Cities,7,397035.273376396,286134.598069085
vasoilold,Cities,8,402452.050610844,289517.285658706
vasoilold,Cities,9,407665.012186448,292820.340930175
vasoilold,Cities,10,412797.704602174,296099.672151699
vasoilold,North,1,716769.331366638,790274.663597103
vasoilold,North,2,731581.628594181,805709.927291421
vasoilold,North,3,745756.509276919,820518.642128866
vasoilold,North,4,759116.660975736,834522.933944876
vasoilold,North,5,771849.923410768,847910.016717621
vasoilold,North,6,783944.117962795,860667.158606527
vasoilold,North,7,795360.231766868,872755.215503972
vasoilold,North,8,806211.381489617,884287.280244178
vasoilold,North,9,816654.237842668,895419.720789522
vasoilold,North,10,826936.295138594,906400.273039625
vasoilold,South,1,610815.23969972,732798.627385877
vasoilold,South,2,623437.957337896,746933.387892369
vasoilold,South,3,635517.482455737,760502.304343073
vasoilold,South,4,646902.713247878,773343.938004184
vasoilold,South,5,657753.722639677,785627.938026724
vasoilold,South,6,668060.132276634,797342.636678143
vasoilold,South,7,677788.69624348,808452.505065733
vasoilold,South,8,687035.810104058,819060.102936131
vasoilold,South,9,695934.985232376,829307.175602415
vasoilold,South,10,704697.130900415,839418.449986949
